Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDC37,OUT027,2002.299160733739
FDZ14,OUT018,1855.0215774768294
DRG49,OUT049,3821.1917617675135
NCG06,OUT045,4075.3716606003254
DRC36,OUT045,2734.555081212042
FDV21,OUT019,1053.014068884393
FDB53,OUT046,1981.7132905853105
DRP47,OUT019,3287.5321533312635
FDA14,OUT013,2385.907922719609
DRC24,OUT035,2442.8921753072755
FDW21,OUT018,1718.6156251330358
NCH29,OUT046,1702.1336718873354
FDU58,OUT013,3284.186626137318
FDY27,OUT017,2824.453599990389
FDV56,OUT035,1820.6666075998983
FDT59,OUT046,3819.779980634925
FDB23,OUT046,3755.519061904739
FDR49,OUT045,340.14848209318006
FDB03,OUT010,2846.9397166501985
FDN39,OUT045,2778.5229332226627
FDX02,OUT027,3688.597290575497
FDQ16,OUT027,1956.012514835682
FDU35,OUT018,1360.5959508558262
NCT29,OUT013,2051.1656601716495
FDZ27,OUT046,997.5845725123618
FDN57,OUT017,2072.785874908448
FDA03,OUT018,2165.363171532663
FDZ36,OUT045,2867.9725430358303
NCU05,OUT013,1440.0405647731823
FDT39,OUT018,2484.34072446515
FDK60,OUT017,1227.2850424792268
FDZ25,OUT017,2659.6972849868434
FDG12,OUT046,2209.647511456802
DRB01,OUT019,2799.8303672023394
NCC43,OUT027,3956.432226291672
FDX13,OUT019,3964.550176823617
FDM22,OUT049,899.4059635922531
FDJ03,OUT027,897.3521915010751
FDU14,OUT018,4003.6738827250374
FDB33,OUT010,2626.4641365723655
FDP27,OUT046,2758.609702400059
FDO38,OUT010,901.3084883378324
FDE28,OUT027,3487.435435187188
FDO27,OUT035,915.6128998826716
DRL23,OUT027,2064.387250457654
FDS28,OUT046,822.5635023648683
FDX24,OUT013,1840.715459469393
FDZ02,OUT035,1565.8157698793002
FDL46,OUT045,1764.3848600928577
FDS60,OUT027,3106.529343880182
NCO06,OUT017,144.81311271561935
FDO16,OUT035,1494.979952760168
FDC60,OUT049,1155.1511863524756
FDA48,OUT018,3051.552194914053
FDZ36,OUT027,3372.5490594717667
FDK27,OUT045,2081.509911160232
FDW23,OUT018,404.369272220054
FDM14,OUT018,1784.8012995191384
FDM14,OUT013,2057.2195297440667
FDW60,OUT018,2873.3728233769034
FDE21,OUT013,2147.5870744797503
NCM42,OUT035,1818.1737400348757
FDY59,OUT010,1537.3929537265503
DRI49,OUT049,697.2458120320443
FDT28,OUT019,2318.86784788562
FDQ22,OUT018,590.919536182475
FDR60,OUT049,862.5736759771789
FDC50,OUT019,856.4522441943773
FDV24,OUT013,2377.2771417648946
DRF48,OUT010,3265.1026470864854
FDQ47,OUT046,136.9666516095349
DRN36,OUT049,1547.2821772111784
NCY06,OUT035,1916.5755077143476
FDE52,OUT035,1476.5823463622219
NCB54,OUT045,2005.4331108276601
NCF31,OUT035,2369.167639264895
FDJ08,OUT027,2925.699318119281
NCC07,OUT017,1667.0222098872582
NCD19,OUT027,1240.9410143551322
FDL46,OUT049,2082.361967597706
FDM20,OUT045,3913.044782599929
NCI06,OUT010,2747.0848345762533
DRM11,OUT035,3986.4813738860357
NCH07,OUT018,2182.058921944219
FDS23,OUT013,1864.233450885764
FDO49,OUT018,759.9968664914195
FDS35,OUT049,802.8555127719119
DRK39,OUT045,1322.6752485678153
DRI39,OUT049,732.0116334887753
FDV04,OUT017,1971.3301305500572
NCN14,OUT035,2597.9512056353487
FDH08,OUT013,3993.913071660656
FDS20,OUT046,2932.866028364675
FDV40,OUT049,1352.8317114210731
FDZ48,OUT010,1403.5586663442336
FDS24,OUT027,1547.4427436529622
FDK44,OUT049,2414.726713333752
FDS48,OUT045,2563.603580244988
FDK26,OUT010,2999.5790604521353
FDD23,OUT045,2970.4237224116987
NCH54,OUT017,2345.3441331806243
NCP14,OUT010,1134.8476993980803
FDM60,OUT010,543.5529266840495
FDV24,OUT017,2092.0650785704565
FDH08,OUT018,3655.7996516481653
FDS12,OUT027,1668.6989371919735
FDR39,OUT027,2903.942539965552
FDP12,OUT027,826.3519711803092
DRF60,OUT027,3919.1091507266283
FDC09,OUT035,1669.2763078744138
FDF50,OUT018,2743.953784710382
FDG28,OUT035,3806.1721402843796
NCE19,OUT017,623.0855540737357
NCM53,OUT010,1542.9648857878892
NCN18,OUT049,2023.6111557721924
FDF32,OUT035,2980.870355092866
FDF11,OUT013,4107.975274376364
DRI59,OUT049,3619.30893300716
NCG54,OUT035,2489.3964774470587
FDM44,OUT046,1740.2234144571266
FDT57,OUT018,3720.0830893695675
FDV24,OUT046,2230.3336386370866
FDI50,OUT019,3774.5427474099924
FDS09,OUT035,654.115826426194
NCC31,OUT027,2785.7719510022434
FDQ07,OUT019,3188.234855224142
FDC22,OUT017,2567.4486556319025
FDZ56,OUT046,2804.0069501630423
FDZ40,OUT019,984.0570957438067
FDS46,OUT027,2096.4769557471955
DRD24,OUT045,2277.2618881344206
FDV45,OUT017,2884.63156143621
FDL26,OUT045,2297.8398419053665
FDA56,OUT018,2033.5064726150886
FDN27,OUT046,1915.5817927882272
FDM20,OUT049,3935.5388331591275
FDO16,OUT017,1425.3095458698335
FDL03,OUT035,3094.8321138775245
FDE58,OUT046,1854.187701469251
FDI02,OUT027,1696.6054147842588
NCC55,OUT019,561.8737810991697
FDR03,OUT018,3288.8261172388193
FDB14,OUT017,1093.486368846432
FDR45,OUT013,4076.176331580482
NCN07,OUT017,2001.6121851805983
FDM51,OUT019,1852.2447357822566
FDT52,OUT027,4072.1515316110563
FDL26,OUT046,2343.674386902934
NCZ42,OUT046,3989.463876774553
DRI47,OUT019,2569.023842196206
FDW40,OUT013,2154.593501567164
FDN34,OUT046,2922.34835391002
FDS01,OUT035,2911.9633364063193
NCG55,OUT045,1844.391585600486
FDC11,OUT035,877.6809642535882
FDX35,OUT018,3348.195812987309
NCB06,OUT046,2399.7446526245913
FDR09,OUT019,3903.166778875504
FDC53,OUT017,1655.8944408216557
FDY45,OUT013,4392.209390483567
FDA22,OUT010,2303.9543910847824
FDE02,OUT035,1161.596951164116
FDW21,OUT045,1817.8223142635397
FDV34,OUT046,1405.4584453869284
FDS59,OUT049,1762.1542692803669
NCW17,OUT017,2037.6217578723808
NCK54,OUT046,1996.2030584668173
FDG17,OUT019,3991.2429055796892
FDG35,OUT017,2813.1607808313347
FDD08,OUT010,630.6107995141865
NCO07,OUT017,3433.453122071387
FDJ10,OUT010,1565.8366134014832
FDW36,OUT017,1533.6182298324493
FDW21,OUT010,1902.913267510161
FDY19,OUT017,1773.4167257386762
DRE03,OUT013,1018.8978997390623
NCC55,OUT049,587.0487055233134
FDH52,OUT010,961.7750470517531
FDO09,OUT017,3717.4219710455727
FDU43,OUT045,3665.604052476261
FDX09,OUT010,2542.5119766685348
FDH40,OUT019,1132.5369874164062
FDW58,OUT017,1709.6290508609345
FDC47,OUT017,3153.363915110276
NCR41,OUT035,1563.2283053995343
DRG49,OUT035,3745.3242159873225
FDC52,OUT027,2801.729813684331
FDY13,OUT046,1327.6058920241449
FDY35,OUT013,1020.2266007734725
FDI35,OUT017,2802.1595726149026
NCU18,OUT049,2210.5744359525197
FDY33,OUT018,2154.6578001895796
FDC15,OUT027,2118.237942515105
FDU01,OUT049,3137.9809435273455
NCU42,OUT046,2877.203951623651
NCV29,OUT018,2807.7317655433944
NCY30,OUT017,2853.7519290951022
FDQ46,OUT049,1578.9401537937629
FDG58,OUT027,2471.3818448502425
FDK33,OUT017,3408.8921247795224
NCD07,OUT045,1802.8302458378676
NCX29,OUT027,2314.060975457356
NCT42,OUT013,2676.8194870311454
DRN59,OUT035,613.0127954281015
FDI44,OUT035,960.4945475425193
FDA45,OUT049,2297.701569672572
FDP31,OUT045,471.7247948530676
FDY01,OUT046,1328.3037270176646
FDT09,OUT018,2136.1814482646296
DRH03,OUT027,1941.6012566104873
FDA36,OUT018,3060.4232567867075
NCF31,OUT017,2339.134648859683
FDG14,OUT049,2423.908469923568
FDG28,OUT027,4073.173092446388
FDU14,OUT049,3989.2954660494433
FDY47,OUT019,2076.383462598067
FDI56,OUT049,1287.7901827059977
DRD01,OUT013,1041.447919360773
FDM22,OUT046,1145.4838364536918
FDH33,OUT013,540.7357453154909
DRZ24,OUT013,1942.5565580881012
NCQ38,OUT046,1857.9934083595908
FDO16,OUT027,1704.9454239296756
FDU07,OUT027,2521.6713151299227
NCB07,OUT013,3082.7893420489527
FDU48,OUT045,2004.2600327435612
NCM43,OUT045,2707.7070054415817
FDR31,OUT010,2200.860736682229
DRK49,OUT018,601.5992621935802
NCI30,OUT010,3614.3539350681276
DRD60,OUT017,2801.487648518054
NCG19,OUT046,3258.028408567603
FDH12,OUT035,1473.2900675189267
FDM32,OUT035,1493.6550435746612
FDM27,OUT035,1921.8215304713776
NCU53,OUT027,3050.1625111866488
NCQ18,OUT046,1215.0322390711553
FDS10,OUT013,3034.2934012057667
FDB33,OUT027,2853.8292140992635
FDI12,OUT013,1338.9639227041007
NCW42,OUT013,3595.5137786609266
NCC06,OUT018,1981.4251042285032
FDW02,OUT017,1998.5532856589816
NCD43,OUT017,1737.0864883440954
FDM57,OUT018,1088.4637532373272
FDA58,OUT017,3405.0479971957357
FDK56,OUT046,2616.5718175842667
FDP52,OUT045,3804.101258953284
FDW20,OUT018,1911.4469414635096
FDS52,OUT049,1833.9496735367247
NCT29,OUT018,1712.0139516593663
NCL54,OUT013,2817.419853653417
FDC05,OUT045,2873.3603223595965
FDF34,OUT035,3230.1436362322347
FDP03,OUT027,2128.336949922621
FDD32,OUT010,1242.827493095545
FDZ10,OUT045,2189.262391928609
FDZ40,OUT035,885.0605241291123
FDD51,OUT018,278.02814218014464
NCY30,OUT019,3059.901149321493
FDP58,OUT017,2956.169818983806
FDV49,OUT017,4185.2899492949
FDY24,OUT019,219.91143370511782
NCO55,OUT017,1417.5139919297908
FDR13,OUT017,1866.094674585369
FDS51,OUT017,977.0896388113761
FDP26,OUT045,1257.6514904692995
NCB54,OUT027,2253.4220799745526
FDF32,OUT017,2906.672100767122
FDN31,OUT018,2761.0556255409247
DRM48,OUT017,193.30215248959212
FDN20,OUT049,2751.7988259560443
DRL01,OUT046,3899.235132905891
FDV56,OUT049,1862.5967370878097
DRH13,OUT027,2035.5737358736224
FDA03,OUT017,2192.473320645935
FDF47,OUT027,3517.0710686175844
FDX32,OUT046,2117.3837178406866
FDX57,OUT049,1535.1129201255353
NCA30,OUT045,2580.427744598641
FDO49,OUT013,1065.6564997738096
FDL04,OUT019,1214.7983595845435
DRM48,OUT035,256.19241643286296
FDR16,OUT013,3313.409151691176
NCC19,OUT018,2735.367514748821
NCE42,OUT045,3809.1720904412796
FDY24,OUT017,453.28139296767404
FDH19,OUT049,2820.814879504258
FDJ46,OUT013,2947.918174632083
FDN45,OUT010,2856.005145054827
FDY08,OUT035,1630.0816306603774
FDZ37,OUT035,1489.8979455394983
NCT30,OUT045,623.3612257549539
DRY23,OUT018,308.47185761021683
NCZ30,OUT018,1948.519944468615
FDC44,OUT018,1099.4775755402115
FDB45,OUT035,1690.5875791496946
FDY04,OUT013,2761.3976275473797
FDM27,OUT046,2779.924833116318
FDZ43,OUT017,3676.7543295304167
FDT39,OUT019,2736.790808005022
NCC06,OUT019,2225.982702414123
FDL15,OUT027,2648.9415742931196
FDL57,OUT017,3861.6984017143077
FDU08,OUT046,1727.7540735095172
FDK40,OUT017,4216.914472996556
FDQ12,OUT010,3592.352686200349
FDS48,OUT017,2379.2868532229077
FDP09,OUT045,3345.5764277493545
FDW21,OUT049,1830.8743562516574
FDY25,OUT035,2878.713790052141
DRE13,OUT017,1405.3505687849392
FDV43,OUT019,517.6695226855882
FDD22,OUT045,1535.8641735286037
FDM46,OUT019,638.9447510548307
NCO30,OUT010,3012.7707647920797
FDM25,OUT046,2746.790469235799
NCN41,OUT049,1925.9400357957347
FDU24,OUT045,1082.322592854467
FDZ50,OUT046,2807.2097892453785
FDP45,OUT013,4205.08083897876
NCM54,OUT045,1937.8694476702585
FDW10,OUT019,2638.3321631042636
FDP20,OUT017,1907.1523125260355
FDK32,OUT046,2413.131805045701
FDN52,OUT049,1060.3643191854135
FDM58,OUT045,1938.1256207768383
FDZ46,OUT027,1879.8053099076096
NCA18,OUT018,1720.9548572929307
FDD35,OUT046,2085.0955614684062
NCK31,OUT035,860.4563642126777
FDI40,OUT027,1464.2974358735664
FDT50,OUT019,1128.6637217772186
NCT06,OUT046,2668.884954980509
FDT31,OUT035,3037.6326716880067
FDT45,OUT049,819.4981659019759
FDT13,OUT045,3053.432169121217
FDO50,OUT045,1272.9138275615842
NCU18,OUT010,2044.7294023558097
NCR54,OUT049,2883.86584695067
NCO18,OUT018,2801.0857853708694
FDU09,OUT045,832.987337672872
FDT13,OUT018,2963.4803447309896
FDE09,OUT046,1973.6052746235036
NCK53,OUT019,1741.5561774944363
FDG45,OUT049,3626.6474146782493
DRH15,OUT035,427.96870597233647
FDO21,OUT019,3882.6035186101726
FDD14,OUT027,2572.0681468983603
FDC09,OUT046,1765.281210756977
FDH45,OUT027,659.9250809775622
FDV32,OUT046,938.2652225295096
FDG12,OUT035,2066.7665202283497
FDS32,OUT013,2459.363154520106
NCL55,OUT018,3763.9448740668267
DRE01,OUT035,3261.470911561104
DRE15,OUT049,1386.8109982688075
NCL42,OUT045,3866.825634275101
FDP31,OUT013,653.0388427304752
FDN33,OUT018,1068.9577243057065
FDZ59,OUT046,2434.32664006708
FDE45,OUT010,2764.4965037773654
FDJ07,OUT013,2248.8543447135235
FDQ45,OUT018,2981.385453025403
FDM33,OUT027,3488.401113364096
FDO15,OUT010,1376.4019165172285
FDM46,OUT013,1184.3253174985439
FDR03,OUT045,3383.3726169146685
FDY49,OUT018,2650.1627514858446
FDQ60,OUT045,1623.8383716577082
FDW10,OUT049,2970.7525638264815
FDO51,OUT049,808.8876807263478
FDJ40,OUT018,1599.7509637072872
FDS20,OUT018,2754.7569515877767
FDU45,OUT013,2012.09131344263
FDV02,OUT035,2548.3167635132086
FDN09,OUT046,3913.918713526491
NCM55,OUT027,3075.6799245436305
FDN23,OUT018,2082.303877865328
FDY31,OUT010,2257.5544214199326
FDW03,OUT010,1800.829758757267
FDD14,OUT046,2345.0480500640406
FDV23,OUT017,1649.5521534161926
DRI03,OUT045,2907.188589103396
FDN13,OUT035,1028.2734050492982
FDF45,OUT027,1339.5095543068637
FDU46,OUT035,1529.4109886368133
FDB57,OUT049,3613.096998034038
FDV12,OUT049,1801.83162360216
FDQ58,OUT013,2755.6176817351843
NCA18,OUT017,1729.2452566236243
FDH52,OUT049,1245.300839690215
FDM24,OUT018,2153.2404458435776
NCP43,OUT027,3152.7762445900917
NCO18,OUT019,3021.362679048776
FDM32,OUT017,1444.1445059950092
NCL07,OUT017,602.0569570269545
FDK03,OUT013,4054.3730145997506
FDP59,OUT017,1451.712524257273
FDQ24,OUT049,4166.699606627702
FDQ16,OUT018,1612.7950547831315
FDU44,OUT013,2681.087495233034
FDH28,OUT010,32.84857088180797
FDV28,OUT019,-250.35258971301664
FDM22,OUT045,870.6570327646841
FDR56,OUT046,2885.667961050982
FDV39,OUT049,3318.2233306197777
FDU37,OUT019,888.384231055672
FDQ11,OUT010,4329.1436235656
FDX02,OUT045,3440.7951105862485
NCS42,OUT018,1285.6635396257989
FDY57,OUT027,1392.3778463945455
FDB21,OUT049,3402.4827943299497
FDE28,OUT017,3163.3981101793397
FDQ55,OUT017,1863.3647183913272
FDA48,OUT049,3227.5333073755755
FDZ19,OUT045,2562.6846038847325
NCC43,OUT045,3779.0564062115955
NCV18,OUT046,1132.6795448516896
NCA42,OUT018,2519.00014974867
FDY45,OUT046,4153.684449913613
NCC30,OUT045,2872.974479471668
FDM57,OUT013,1429.438513647463
FDL09,OUT010,1875.9407572290038
FDB09,OUT027,2151.110046761205
FDT44,OUT035,1567.0054432572542
NCT06,OUT027,2851.9531729142727
FDX26,OUT049,2704.554119678007
FDK32,OUT013,2581.7379671071576
DRA12,OUT046,2349.0193798232976
FDO46,OUT010,3127.0709958267107
FDE52,OUT013,1664.5820092648246
NCH42,OUT045,3690.796510287586
FDV08,OUT035,757.9778641338089
FDB47,OUT018,3119.193384343602
FDC28,OUT010,1619.0584868896985
FDD22,OUT046,1636.6107736992853
FDS07,OUT027,1810.766793148654
DRI13,OUT045,3508.4980583856523
FDG32,OUT018,2771.7982532797178
FDU14,OUT017,3880.465501205177
FDD28,OUT019,955.8756164235674
NCP41,OUT017,1773.715913224718
FDS08,OUT049,2784.134180621717
FDX47,OUT045,2566.2518570139655
FDC53,OUT019,1959.3442621038084
FDQ19,OUT035,3932.4453153710638
FDL14,OUT045,2527.2285090131336
FDM33,OUT019,3219.0870223608
FDA51,OUT045,1275.0687848949856
FDZ27,OUT018,840.4590572380694
FDT04,OUT046,429.27990851095456
DRC13,OUT049,2095.8022876390023
FDR16,OUT027,3340.720498112856
FDQ03,OUT027,3798.428060617014
FDE38,OUT035,2654.1794436513082
DRH23,OUT027,583.4914921195923
FDT11,OUT019,3160.184746598792
FDD09,OUT035,2904.755543807474
FDR40,OUT045,1528.419477239564
FDX07,OUT017,2882.976174407657
FDR07,OUT035,1312.9376122264548
FDA51,OUT017,1219.3883364716494
FDT59,OUT019,3931.0504738895943
FDF20,OUT017,3053.544410702176
FDR13,OUT045,1907.0428044886794
FDY26,OUT049,3368.10212791726
FDW04,OUT017,1944.529712614607
FDK52,OUT017,3309.82486877458
FDN60,OUT049,2277.432424952618
FDM09,OUT019,2447.60055972806
FDP46,OUT049,1287.18241400865
FDB50,OUT019,478.2718964533342
NCQ29,OUT049,3842.130891546578
FDP16,OUT027,4116.130203673965
FDX33,OUT018,2134.0293963665245
FDP07,OUT010,3302.831177461783
FDN22,OUT046,3556.7171459403326
FDF39,OUT049,4343.710035214073
FDS21,OUT017,970.8273198449897
NCM42,OUT013,2017.1025956111225
FDK50,OUT019,2789.1660237564283
DRF13,OUT027,2621.5208965035417
FDH35,OUT018,2386.001955186046
FDP60,OUT018,1404.2023447933498
DRJ49,OUT027,2430.6699409532666
NCT42,OUT019,2580.1173466292385
FDE38,OUT049,2720.8558389208047
FDI04,OUT049,3034.7505015907263
NCH54,OUT045,2358.8998618848636
FDT56,OUT049,645.0407286077534
DRD15,OUT018,3514.418684219916
FDV58,OUT013,3413.986189060328
FDP21,OUT049,3104.4019386052823
FDH05,OUT013,3648.074584132384
FDR10,OUT027,2938.808024203234
NCP06,OUT045,2337.135895002517
FDF33,OUT049,1860.9497841287339
DRK37,OUT013,3419.6395363723714
DRH49,OUT045,1503.1520267340638
FDT58,OUT013,2681.1775281084265
FDD41,OUT018,1398.0196694564547
FDP40,OUT018,1745.6901341336852
FDM51,OUT027,1931.7037861318822
FDO45,OUT010,1341.012098451356
FDW33,OUT010,1213.1056597625284
FDY24,OUT045,1118.038685529904
FDB10,OUT010,3498.4497361344947
FDM40,OUT035,1703.0031148919406
NCI06,OUT017,2774.417254822656
FDW12,OUT019,2420.4057475876616
FDX48,OUT027,2708.6714698542564
NCW05,OUT027,1465.3503801763218
FDX27,OUT017,1078.4858724647456
DRM37,OUT045,2871.223156069347
FDA38,OUT045,3926.5496892754454
FDR36,OUT046,404.7953320255692
FDZ45,OUT046,3090.0629042381697
FDG05,OUT017,2243.2506976366203
FDK28,OUT013,4215.183489906274
FDV47,OUT045,1295.2729982338715
FDN21,OUT045,2351.562832413634
FDP20,OUT027,2241.466974153871
FDI35,OUT045,2871.4298699229657
DRY23,OUT013,634.5664437737905
FDA56,OUT017,2056.1940922893846
FDB09,OUT013,2077.133230035124
NCO26,OUT027,1946.8598499634936
FDQ49,OUT018,2354.932118395238
FDI52,OUT027,1900.3317609545702
FDZ44,OUT027,2120.9385616472464
FDZ09,OUT018,2193.3622690973934
FDY03,OUT049,1661.55879619587
NCG42,OUT017,1962.845060659427
DRI13,OUT027,3774.8355907082587
FDQ32,OUT013,2154.792755971779
FDW16,OUT035,1406.2532313202391
FDU27,OUT046,219.24960985612051
FDR28,OUT010,2622.360368202051
FDQ49,OUT010,2411.6513081385274
FDS37,OUT046,1994.5088669377874
FDW26,OUT018,3093.019542795493
FDX12,OUT018,3747.2295288380556
NCP06,OUT013,2563.723482109617
FDW45,OUT010,2224.315167290679
NCN30,OUT049,1647.0667019286775
FDN24,OUT049,575.5124790149566
NCL41,OUT027,785.0167392477124
FDR02,OUT019,1995.6831415623456
FDD09,OUT010,2940.120860210962
FDS33,OUT010,1668.999090584297
FDU22,OUT045,1673.9087453779466
FDI53,OUT013,2370.1801436436836
DRH01,OUT049,2541.8524852004557
FDX32,OUT013,2200.2737561807808
NCP30,OUT018,558.6203295518499
FDB60,OUT045,3177.576227648755
FDB14,OUT049,1217.6380428356388
NCP02,OUT035,935.9772194191719
FDJ10,OUT017,1804.993315803189
FDG34,OUT046,2029.3183345887192
NCB18,OUT017,1302.979823211048
FDM16,OUT049,1301.9703996091994
FDW25,OUT018,1318.5313608043907
FDB35,OUT010,1220.0080410033588
DRN11,OUT013,1960.3033395994244
FDF41,OUT019,3296.8570068986955
FDH16,OUT045,1378.75436314127
NCQ50,OUT018,3259.8446223292885
DRH23,OUT018,237.65661380022357
DRJ37,OUT013,2540.039072174375
DRJ24,OUT027,2835.734229501908
FDY16,OUT035,2614.4009504363785
FDQ27,OUT045,1712.8917963102394
FDZ33,OUT045,2075.1768538239558
FDF29,OUT045,2174.3730128102616
FDA08,OUT049,2594.4496993005996
FDG31,OUT046,1317.3295676377857
FDE34,OUT019,3324.743544414381
NCR30,OUT027,1292.6132447923483
FDV33,OUT035,4125.84277151019
DRZ24,OUT018,2039.3753514430937
NCL54,OUT035,2535.5481208627752
FDR12,OUT049,2826.2408359010333
NCC54,OUT046,3602.58681293263
DRN59,OUT013,1136.9759801784967
FDX50,OUT019,1591.4696549113141
FDV31,OUT027,2766.297295440647
NCA29,OUT027,3036.8440952394303
FDW60,OUT049,2995.130091139934
FDX08,OUT017,2904.43804425103
DRD49,OUT013,3382.470406183613
FDD33,OUT046,3416.898983748266
FDW35,OUT013,1054.9474722341147
FDJ36,OUT017,1171.4400224556557
FDV51,OUT035,2630.307441859506
FDW36,OUT046,1709.7475267300033
FDH35,OUT046,2572.038721324083
NCS30,OUT027,2086.5770797434634
FDN49,OUT017,159.05545102178075
FDL08,OUT018,3758.6925913663654
FDI09,OUT013,3550.950067257596
FDP19,OUT018,1370.6320762513642
FDU21,OUT010,221.60945279038788
NCP41,OUT045,1812.8962770279068
FDY10,OUT013,1941.7071884721227
FDP12,OUT018,508.86627386033433
NCN26,OUT049,1962.1726650399687
FDK44,OUT013,2582.229892859239
FDC28,OUT049,1751.063996865807
FDJ41,OUT027,4469.44446617713
NCT29,OUT035,1839.636734250158
NCH42,OUT019,3738.1750953299197
FDU60,OUT018,2426.8559118708617
FDS02,OUT045,2596.6006020479545
FDC51,OUT046,2185.173696420312
FDU03,OUT013,2836.3443504003408
FDX39,OUT045,3300.120424499546
NCY05,OUT010,433.433085916291
NCL06,OUT027,4195.989373170316
FDD32,OUT035,1421.157603580723
NCN41,OUT045,1883.111417520231
NCX53,OUT049,2368.4898461660378
FDU57,OUT019,2090.7025060601954
FDQ23,OUT046,1845.2727765700547
FDQ52,OUT045,3550.229158966933
FDC14,OUT045,656.7123371229645
FDY09,OUT035,2830.676290851752
FDQ28,OUT045,2389.351708150174
FDV25,OUT046,3580.9030498928587
FDJ07,OUT035,1981.2395321999975
DRB25,OUT049,1612.636854087843
FDK52,OUT019,3352.583302197396
FDY52,OUT027,1413.9532690195483
FDB28,OUT046,2997.9691611643248
FDT36,OUT035,261.57259352000256
FDV25,OUT017,3459.731831305431
NCN07,OUT027,2344.7621401970937
FDC57,OUT017,2886.22821077588
FDQ03,OUT018,3460.5532062886487
FDU23,OUT017,2673.301265858401
NCX41,OUT035,3404.452649279294
NCD06,OUT035,477.55929235680014
FDW08,OUT045,1223.8472982081694
NCU29,OUT017,2337.6493055639876
NCE06,OUT013,2573.034699721382
FDV52,OUT010,1156.252239821315
FDB02,OUT017,2802.2153169980993
NCR18,OUT045,786.4451826561126
FDK16,OUT049,1764.2032290491697
NCQ29,OUT010,3536.6105461268417
FDZ01,OUT019,2005.378355639874
FDW27,OUT035,2008.4187240764004
FDD17,OUT018,3728.648158601449
FDW39,OUT013,3059.6829100243995
DRH59,OUT045,1107.511612964001
FDS52,OUT013,2018.9329582351456
FDU40,OUT027,3341.6108874301535
NCF54,OUT013,2900.2423095286613
FDH46,OUT045,1679.3661743528864
NCP14,OUT049,1411.9778288515809
FDH50,OUT049,3148.497154176177
DRF15,OUT010,2395.8092175839665
FDV27,OUT027,1646.2003220306942
NCJ06,OUT049,1945.687269391081
FDN02,OUT018,2982.6719208215654
FDQ51,OUT049,887.9175905061711
FDQ07,OUT017,3225.6770102088994
FDS45,OUT049,1820.6616748837987
NCJ06,OUT045,1920.077943024029
FDD36,OUT035,1930.9222573938896
FDY25,OUT045,2929.2381738118056
FDU52,OUT046,2457.0207209974396
DRK47,OUT017,3441.151668712948
NCL30,OUT017,1910.6365854576834
FDN22,OUT035,3471.742023783605
